label,figma_sync_slug,figma_tag,figma_path,theme_json_target,theme_json_value_type,theme_json_default_value,scss_target,scss_value_type,scss_default_value
Heading 4 letter spacing,heading-4-letter-spacing,RV heading 4,,NULL,NULL,NULL,heading-4-letter-spacing,string,normal
Heading 4 text transform,heading-4-text-transform,RV heading 4,headings.desktop.3.textTransform,NULL,NULL,NULL,heading-4-text-transform,string,none
Heading 4 font size (mobile),heading-4-font-size-mobile,RV heading 4,headings.mobile.3.fontSize,custom.font-size.mobile.heading4,px,38px,heading-4-font-size-mobile,theme-json-var-ref,var(--wp--custom--font-size--mobile--heading-4)
Heading 4 font size (desktop),heading-4-font-size-desktop,RV heading 4,headings.desktop.3.fontSize,custom.font-size.desktop.heading4,px,50px,heading-4-font-size-desktop,theme-json-var-ref,var(--wp--custom--font-size--desktop--heading-4)
HEADING 5,,,,,,,,,
Heading 5 font family,heading-5-font-family,RV heading 5,NULL,NULL,NULL,NULL,heading-5-font-family,scss-ref,$font-family-secondary
Heading 5 font weight,heading-5-font-weight,RV heading 5,headings.desktop.4.fontWeight,NULL,NULL,NULL,heading-5-font-weight,number,700
Heading 5 line height,heading-5-line-height,RV heading 5,,NULL,NULL,NULL,heading-5-line-height,number,1.3
Heading 5 letter spacing,heading-5-letter-spacing,RV heading 5,,NULL,NULL,NULL,heading-5-letter-spacing,string,normal
Heading 5 text transform,heading-5-text-transform,RV heading 5,headings.desktop.4.textTransform,NULL,NULL,NULL,heading-5-text-transform,string,none
Heading 5 font size (mobile),heading-5-font-size-mobile,RV heading 5,headings.mobile.4.fontSize,custom.font-size.mobile.heading5,px,24px,heading-5-font-size-mobile,theme-json-var-ref,var(--wp--custom--font-size--mobile--heading-5)
Heading 5 font size (desktop),heading-5-font-size-desktop,RV heading 5,headings.desktop.4.fontSize,custom.font-size.desktop.heading5,px,40px,heading-5-font-size-desktop,theme-json-var-ref,var(--wp--custom--font-size--desktop--heading-5)
HEADING 6,,,,,,,,,
Heading 6 font family,heading-6-font-family,RV heading 6,NULL,NULL,NULL,NULL,heading-6-font-family,scss-ref,$body-font-family
Heading 6 font weight,heading-6-font-weight,RV heading 6,headings.desktop.5.fontWeight,NULL,NULL,NULL,heading-6-font-weight,number,700
Heading 6 line height,heading-6-line-height,RV heading 6,,NULL,NULL,NULL,heading-6-line-height,number,1.3
Heading 6 letter spacing,heading-6-letter-spacing,RV heading 6,,NULL,NULL,NULL,heading-6-letter-spacing,string,normal
Heading 6 text transform,heading-6-text-transform,RV heading 6,headings.desktop.5.textTransform,NULL,NULL,NULL,heading-6-text-transform,string,none
Heading 6 font size (mobile),heading-6-font-size-mobile,RV heading 6,headings.mobile.5.fontSize,custom.font-size.mobile.heading6,px,16px,heading-6-font-size-mobile,theme-json-var-ref,var(--wp--custom--font-size--mobile--heading-6)
Heading 6 font size (desktop),heading-6-font-size-desktop,RV heading 6,headings.desktop.5.fontSize,custom.font-size.desktop.heading6,px,24px,heading-6-font-size-desktop,theme-json-var-ref,var(--wp--custom--font-size--desktop--heading-6)
LINKS,,,,,,,,,
Link color,color-link,RV link,NULL,NULL,NULL,NULL,link-color,scss-ref,$color-primary
Link hover color,color-link-hover,RV link,,NULL,NULL,NULL,link-hover-color,string,"color-mix(in srgb, $color-primary 80%, white)"
Link letter spacing,link-letter-spacing,RV link,,NULL,NULL,NULL,link-letter-spacing,string,normal
Link font weight,link-font-weight,RV link,,NULL,NULL,NULL,link-font-weight,string,inherit
Link text decoration,link-text-decoration,RV link,,NULL,NULL,NULL,link-text-decoration,string,underline
Link hover text decoration,link-text-decoration-hover,RV link,,NULL,NULL,NULL,link-hover-text-decoration,string,underline
BUTTONS – PRIMARY,,,,,,,,,
Button primary font color,button-primary-font-color,RV button primary,buttons.0.fontColor,NULL,NULL,NULL,button-primary-font-color,scss-color-match,$color-dark
Button primary background color,button-primary-background-color,RV button primary,NULL,NULL,NULL,NULL,button-primary-background-color,scss-ref,$color-primary
